Jun 22, 2014	3.44	3.434	3.44	3.434	-0.36%
Jun 20, 2014	3.452	3.452	3.452	3.452	-0.26%
Jun 19, 2014	3.461	3.461	3.461	3.461	1.20%
Jun 18, 2014	3.42	3.42	3.42	3.42	-0.75%
Jun 17, 2014	3.446	3.446	3.446	3.446	1.44%
Jun 16, 2014	3.397	3.397	3.397	3.397	-0.33%
Jun 15, 2014	3.408	3.412	3.412	3.408	-0.11%
Jun 13, 2014	3.412	3.412	3.412	3.412	0.09%
Jun 12, 2014	3.409	3.409	3.409	3.409	-1.73%
Jun 11, 2014	3.469	3.469	3.469	3.469	0.06%
Jun 10, 2014	3.467	3.467	3.467	3.467	0.46%
Jun 09, 2014	3.451	3.451	3.451	3.451	0.40%
Jun 08, 2014	3.437	3.439	3.439	3.437	0.00%
Jun 06, 2014	3.437	3.437	3.437	3.437	0.15%
Jun 05, 2014	3.432	3.432	3.432	3.432	-0.35%
Jun 04, 2014	3.444	3.444	3.444	3.444	0.29%
Jun 03, 2014	3.434	3.434	3.434	3.434	1.69%
Jun 02, 2014	3.377	3.377	3.377	3.377	1.33%
Jun 01, 2014	3.333	3.327	3.333	3.327	0.56%
May 30, 2014	3.314	3.314	3.314	3.314	0.33%
May 29, 2014	3.303	3.303	3.303	3.303	0.46%
May 28, 2014	3.288	3.288	3.288	3.288	-2.35%
May 27, 2014	3.367	3.367	3.367	3.367	-1.00%
May 26, 2014	3.401	3.402	3.403	3.4	0.08%
May 25, 2014	3.398	3.398	3.398	3.398	0.01%
May 23, 2014	3.398	3.398	3.398	3.398	-0.90%
May 22, 2014	3.429	3.429	3.429	3.429	0.38%
May 21, 2014	3.416	3.416	3.416	3.416	1.21%
May 20, 2014	3.375	3.375	3.375	3.375	-0.27%
May 19, 2014	3.384	3.384	3.384	3.384	1.21%
May 18, 2014	3.343	3.343	3.344	3.343	-0.10%
May 16, 2014	3.347	3.347	3.347	3.347	0.27%
May 15, 2014	3.338	3.338	3.338	3.338	-1.10%
May 14, 2014	3.375	3.375	3.375	3.375	-2.29%
May 13, 2014	3.454	3.454	3.454	3.454	-1.09%
May 12, 2014	3.492	3.492	3.492	3.492	0.68%
May 11, 2014	3.468	3.465	3.47	3.465	0.07%
May 09, 2014	3.466	3.466	3.466	3.466	1.52%
May 08, 2014	3.414	3.414	3.414	3.414	0.32%
May 07, 2014	3.403	3.403	3.403	3.403	0.65%
May 06, 2014	3.381	3.381	3.381	3.381	-0.79%
May 05, 2014	3.408	3.408	3.408	3.408	1.27%
May 04, 2014	3.365	3.365	3.365	3.365	-0.08%
May 02, 2014	3.368	3.368	3.368	3.368	-1.06%
May 01, 2014	3.404	3.404	3.404	3.404	-1.56%
Apr 30, 2014	3.458	3.458	3.458	3.458	-0.95%
Apr 29, 2014	3.491	3.491	3.491	3.491	0.87%
Apr 28, 2014	3.461	3.461	3.461	3.461	0.36%
Apr 27, 2014	3.449	3.448	3.449	3.448	0.25%
Apr 25, 2014	3.44	3.44	3.44	3.44	-0.69%
Apr 24, 2014	3.464	3.464	3.464	3.464	-0.14%
Apr 23, 2014	3.469	3.469	3.469	3.469	-0.97%
Apr 22, 2014	3.503	3.503	3.503	3.503	-0.65%
Apr 21, 2014	3.526	3.526	3.526	3.526	0.26%
Apr 20, 2014	3.517	3.513	3.518	3.513	0.11%
Apr 17, 2014	3.513	3.513	3.513	3.513	1.74%
Apr 16, 2014	3.453	3.453	3.453	3.453	-0.20%
Apr 15, 2014	3.46	3.46	3.46	3.46	-0.69%
Apr 14, 2014	3.484	3.484	3.484	3.484	0.52%
Apr 13, 2014	3.466	3.489	3.489	3.466	-0.28%
Apr 11, 2014	3.476	3.476	3.476	3.476	-0.77%
Apr 10, 2014	3.503	3.503	3.503	3.503	-1.74%
Apr 09, 2014	3.565	3.565	3.565	3.565	0.65%
Apr 08, 2014	3.542	3.542	3.542	3.542	-0.45%
Apr 07, 2014	3.558	3.558	3.558	3.558	-0.62%
Apr 06, 2014	3.58	3.587	3.587	3.58	-0.16%
Apr 04, 2014	3.586	3.586	3.586	3.586	-1.08%
Apr 03, 2014	3.625	3.625	3.625	3.625	-0.66%
Apr 02, 2014	3.649	3.649	3.649	3.649	1.25%
Apr 01, 2014	3.604	3.604	3.604	3.604	1.18%
Mar 31, 2014	3.562	3.562	3.562	3.562	0.37%
Mar 30, 2014	3.549	3.547	3.549	3.547	0.14%
Mar 28, 2014	3.544	3.544	3.544	3.544	1.00%
Mar 27, 2014	3.509	3.509	3.509	3.509	-1.18%
Mar 26, 2014	3.551	3.551	3.551	3.551	-0.78%
Mar 25, 2014	3.579	3.579	3.579	3.579	0.17%
Mar 24, 2014	3.573	3.573	3.573	3.573	-1.22%
Mar 23, 2014	3.617	3.609	3.699	3.609	0.22%
Mar 21, 2014	3.609	3.609	3.609	3.609	-1.42%
Mar 20, 2014	3.661	3.661	3.661	3.661	-0.25%
Mar 19, 2014	3.67	3.67	3.67	3.67	1.19%
Mar 18, 2014	3.627	3.627	3.627	3.627	-0.08%
Mar 17, 2014	3.63	3.63	3.63	3.63	1.31%
Mar 16, 2014	3.583	3.597	3.597	3.582	-0.11%
Mar 14, 2014	3.587	3.587	3.587	3.587	-0.39%
Mar 13, 2014	3.601	3.601	3.601	3.601	-1.83%
Mar 12, 2014	3.668	3.668	3.668	3.668	-1.08%
Mar 11, 2014	3.708	3.708	3.708	3.708	-0.56%
Mar 10, 2014	3.729	3.729	3.729	3.729	0.13%
Mar 09, 2014	3.724	3.724	3.727	3.723	0.00%
Mar 07, 2014	3.724	3.724	3.724	3.724	1.03%
